row_id,Y
2933,4.199866562
734,4.199866691
1139,4.199866597
9394,4.199866876
7393,4.199866429
7900,4.199867
5095,4.199866943
8763,4.199866864
9632,4.19986685
973,4.199866972
4469,4.199866847
3569,4.199866973
2090,4.199866879
3671,4.199866826
6762,4.199866782
1713,4.199866787
10032,4.199866807
2767,4.199867036
5103,4.199866591
1643,4.199866955
8806,4.199866851
10789,4.19986697
2047,4.199866546
7975,4.199866866
9697,4.199866744
10635,4.199866504
3202,4.199866767
8313,4.199867116
1688,4.199867138
10164,4.199866783
3134,4.199866619
9100,4.19986681
984,4.199866796
6376,4.199866678
6820,4.199866954
8263,4.199866716
346,4.199866532
8855,4.199867108
38,4.19986674
1482,4.199866602
5460,4.199866771
3749,4.199866666
1153,4.199866464
9008,4.19986632
9066,4.199867124
3767,4.199866411
6132,4.199866645
7810,4.199866958
9794,4.199866582
2197,4.199867004
8753,4.199866531
1885,4.199866847
5074,4.199866914
10459,4.199866982
3926,4.1998666
10362,4.199867079
3060,4.199866908
6966,4.199866856
8173,4.199866442
5362,4.199866983
7413,4.199866967
2543,4.199866725
327,4.199866791
2360,4.199866626
4937,4.199866672
3582,4.199866479
4539,4.199866541
4506,4.199866578
8661,4.199867009
2713,4.199866858
10303,4.199866873
12,4.199866633
8749,4.199866809
9171,4.19986641
1138,4.199866702
3734,4.199866828
8596,4.199866808
32,4.199866852
2890,4.199866744
48,4.199866874
6180,4.199866849
10440,4.199866991
4699,4.199866968
3575,4.199867055
1284,4.199867265
3592,4.199866855
3859,4.199867066
10112,4.199867131
8053,4.199866872
6609,4.199866967
8971,4.199866573
5582,4.199866613
3045,4.199867092
4404,4.199867015
7609,4.199866785
3973,4.1998669
4311,4.199866734
1821,4.199866779
6700,4.199866609
7003,4.199866442
923,4.199866604
6911,4.199866824
3094,4.199866368
8953,4.199866644
2910,4.199866454
3772,4.19986671
7304,4.199866986
10839,4.199866994
9690,4.1998664
569,4.199866938
4132,4.199866635
1747,4.199866698
2662,4.199867049
7651,4.199866853
1698,4.199866681
3730,4.199866678
8864,4.199866681
4168,4.199866867
5465,4.199867139
2831,4.199866677
8591,4.199866761
3801,4.199866789
9403,4.199867186
1158,4.199866859
6178,4.199866676
3174,4.199866827
2248,4.199866953
7664,4.199866952
3130,4.199866722
8373,4.199866864
7592,4.199867066
9831,4.199866532
349,4.199866994
5655,4.199866849
9002,4.19986675
9228,4.199867006
6985,4.199866719
7065,4.199866887
4075,4.199867204
9870,4.199866766
7839,4.199866835
1699,4.199866417
2064,4.19986695
10767,4.199866587
7837,4.199866657
10206,4.199866839
9462,4.199867234
9207,4.199866498
6476,4.199866869
6017,4.199866628
1696,4.199866767
4662,4.199866968
4616,4.199866695
4125,4.199866438
6682,4.199866679
250,4.199866976
5584,4.199866753
6760,4.199866728
2004,4.199867078
8695,4.199866785
4264,4.199866566
9864,4.199866877
3155,4.19986679
597,4.199866723
1360,4.199866389
1352,4.199867132
5934,4.199866814
9026,4.199866454
7218,4.199866678
8127,4.199866991
10025,4.199866714
8424,4.199866518
6009,4.199866696
3587,4.199866517
3855,4.199866984
2362,4.19986657
3496,4.199866677
524,4.199866597
3670,4.199866772
1570,4.1998667
8271,4.199866461
3891,4.199867059
8844,4.199866341
1210,4.199866908
358,4.199866733
102,4.199866791
428,4.199866916
8709,4.199867194
1946,4.199866507
1209,4.199867003
10737,4.199866519
7280,4.199866676
1468,4.199867043
3102,4.199866877
335,4.199866792
365,4.199866992
6252,4.199866903
2318,4.199867134
2138,4.199866974
633,4.199866966
4663,4.199866665
4449,4.199866469
2661,4.199866544
790,4.199866971
2193,4.199866837
1166,4.199866971
2585,4.199866541
5102,4.199866316
2974,4.199866829
5507,4.19986656
3142,4.199866518
1677,4.19986672
3207,4.199866977
4059,4.19986691
7098,4.199866776
668,4.19986701
331,4.199866745
555,4.199866962
8222,4.199866761
3343,4.199866436
1962,4.199867006
4861,4.199866777
2117,4.199866933
6935,4.199866771
8469,4.199866716
5691,4.199866738
8653,4.199866895
10208,4.199866899
2649,4.199866959
9977,4.199866787
8516,4.1998668
6811,4.199866469
2215,4.199866897
7608,4.199866812
7536,4.199866823
2892,4.199866445
8018,4.19986677
5968,4.19986659
7887,4.199866696
4372,4.199866957
3078,4.199866599
10464,4.199867016
2107,4.199866471
4035,4.199866821
4610,4.199866792
473,4.199866395
5478,4.199866564
9942,4.199866873
9867,4.199866712
6217,4.199866585
4966,4.199866723
3244,4.199866411
3491,4.199866525
233,4.199866973
222,4.199866906
405,4.199866565
2916,4.199866745
4990,4.199866744
1240,4.199867009
4613,4.199866888
2622,4.199867231
3837,4.199866722
8946,4.19986667
7751,4.199866969
9272,4.199866543
6295,4.19986637
5929,4.199867077
10800,4.199866521
4828,4.19986683
3038,4.199866504
9872,4.199866828
8637,4.199866603
9253,4.199866687
4333,4.199866558
4280,4.199866805
7946,4.199866841
10723,4.199866789
7803,4.19986683
5084,4.19986658
4804,4.199866983
6688,4.199866483
1944,4.199866981
6474,4.199866979
10028,4.199866855
5316,4.199866992
5594,4.199866963
5660,4.19986704
9753,4.199866463
5586,4.199867017
3998,4.199867078
9539,4.19986675
8777,4.199866973
4887,4.199866358
1289,4.199866533
1516,4.19986648
5716,4.199866932
6897,4.199866697
7333,4.199866532
6895,4.199866851
2905,4.199866755
4401,4.199866802
3966,4.199866341
4048,4.199866977
1819,4.199866562
6073,4.199867011
9534,4.199866978
7358,4.199866806
8184,4.199866954
393,4.199866905
5430,4.19986701
4614,4.199866552
9122,4.199866941
9566,4.199867043
469,4.199866541
3292,4.199866436
4104,4.199866912
5375,4.199866504
910,4.199867068
1342,4.199866832
4965,4.199866571
2551,4.199867134
502,4.199866525
5794,4.199866562
7962,4.19986691
3150,4.19986643
9393,4.199866792
8966,4.199866996
10322,4.199866954
5447,4.199867009
5421,4.199866466
7455,4.199867038
7758,4.199867094
2508,4.199866962
8721,4.19986693
4162,4.199866663
4555,4.199866503
9222,4.199866529
8092,4.199867189
657,4.199866808
1073,4.199866904
5320,4.199867114
1083,4.199866875
8807,4.199866582
302,4.199866902
2158,4.199866673
8655,4.199866409
1026,4.199866714
1395,4.199866878
7372,4.19986658
7057,4.199866757
156,4.19986698
8668,4.199866478
5338,4.199866644
219,4.199866479
10395,4.199867234
6614,4.199866383
5466,4.199866568
3725,4.199866843
2985,4.19986696
3351,4.199866524
3606,4.199866629
9744,4.199866446
2819,4.199866768
1491,4.199867018
